QuadName,Treatment,Group,year,spp,area,cover
X13,Drought,E1,1927,ARTR,NA,NA
X14,Irrigation,E1,1927,ARTR,NA,NA
X15,Drought,E1,1927,ARTR,NA,NA
X16,Irrigation,E1,1927,ARTR,NA,NA
X17,Drought,E1,1927,ARTR,NA,NA
X18,Irrigation,E1,1927,ARTR,NA,NA
X19,Irrigation,E1,1927,ARTR,NA,NA
X20,Drought,E1,1927,ARTR,NA,NA
E1 Q1,Control,E1,1928,ARTR,NA,NA
E1 Q2,Control,E1,1928,ARTR,NA,NA
E1 Q3,Control,E1,1928,ARTR,NA,NA
E1 Q4,Control,E1,1928,ARTR,NA,NA
E1 Q5,Control,E1,1928,ARTR,NA,NA
E1 Q6,Control,E1,1928,ARTR,NA,NA
P1 E1 Q1,Control,P1E1,1928,ARTR,NA,NA
P1 E1 Q2,Control,P1E1,1928,ARTR,NA,NA
P1 E1 Q3,Control,P1E1,1928,ARTR,NA,NA
P1 E1 Q4,Control,P1E1,1928,ARTR,NA,NA
P1 Q1,Control,P1,1928,ARTR,NA,NA
P1 Q2,Control,P1,1928,ARTR,NA,NA
P1 Q3,Control,P1,1928,ARTR,NA,NA
P1 Q4,Control,P1,1928,ARTR,NA,NA
P2 Q1,Control,P2,1928,ARTR,NA,NA
P2 Q2,Control,P2,1928,ARTR,NA,NA
P2 Q3,Control,P2,1928,ARTR,NA,NA
P2 Q4,Control,P2,1928,ARTR,NA,NA
P7 E1 Q1,Control,P7E1,1928,ARTR,NA,NA
P7 E1 Q2,Control,P7E1,1928,ARTR,NA,NA
P7 E1 Q3,Control,P7E1,1928,ARTR,NA,NA
P7 E1 Q4,Control,P7E1,1928,ARTR,NA,NA
P10 E1 Q1,Control,P10E1,1928,ARTR,NA,NA
P10 E1 Q2,Control,P10E1,1928,ARTR,NA,NA
P10 E1 Q3,Control,P10E1,1928,ARTR,NA,NA
P10 E1 Q4,Control,P10E1,1928,ARTR,NA,NA
X1,Irrigation,E1,1928,ARTR,NA,NA
X2,Drought,E1,1928,ARTR,NA,NA
X5,Drought,E1,1928,ARTR,NA,NA
X6,Irrigation,E1,1928,ARTR,NA,NA
X7,Irrigation,E1,1928,ARTR,NA,NA
X8,Drought,E1,1928,ARTR,NA,NA
X11,Drought,E1,1928,ARTR,NA,NA
X12,Irrigation,E1,1928,ARTR,NA,NA
X13,Drought,E1,1928,ARTR,NA,NA
X14,Irrigation,E1,1928,ARTR,NA,NA
X15,Drought,E1,1928,ARTR,NA,NA
X16,Irrigation,E1,1928,ARTR,NA,NA
X17,Drought,E1,1928,ARTR,NA,NA
X18,Irrigation,E1,1928,ARTR,NA,NA
X19,Irrigation,E1,1928,ARTR,NA,NA
X20,Drought,E1,1928,ARTR,NA,NA
E1 Q1,Control,E1,1929,ARTR,NA,NA
E1 Q2,Control,E1,1929,ARTR,NA,NA
E1 Q3,Control,E1,1929,ARTR,NA,NA
E1 Q4,Control,E1,1929,ARTR,NA,NA
E1 Q5,Control,E1,1929,ARTR,NA,NA
E1 Q6,Control,E1,1929,ARTR,NA,NA
P1 E1 Q1,Control,P1E1,1929,ARTR,0.017345204522192,1.7345204522192001
P1 E1 Q2,Control,P1E1,1929,ARTR,0.026923644881832,2.6923644881832
P1 E1 Q3,Control,P1E1,1929,ARTR,NA,NA
P1 E1 Q4,Control,P1E1,1929,ARTR,NA,NA
P1 Q1,Control,P1,1929,ARTR,NA,NA
P1 Q2,Control,P1,1929,ARTR,NA,NA
P1 Q3,Control,P1,1929,ARTR,NA,NA
P1 Q4,Control,P1,1929,ARTR,NA,NA
P2 Q1,Control,P2,1929,ARTR,NA,NA
P2 Q2,Control,P2,1929,ARTR,NA,NA
P2 Q3,Control,P2,1929,ARTR,NA,NA
P2 Q4,Control,P2,1929,ARTR,NA,NA
P7 E1 Q1,Control,P7E1,1929,ARTR,0,0
P7 E1 Q2,Control,P7E1,1929,ARTR,0.036920479603233,3.6920479603232996
P7 E1 Q3,Control,P7E1,1929,ARTR,NA,NA
P7 E1 Q4,Control,P7E1,1929,ARTR,NA,NA
P10 E1 Q1,Control,P10E1,1929,ARTR,NA,NA
P10 E1 Q2,Control,P10E1,1929,ARTR,NA,NA
P10 E1 Q3,Control,P10E1,1929,ARTR,NA,NA
P10 E1 Q4,Control,P10E1,1929,ARTR,NA,NA
X1,Irrigation,E1,1929,ARTR,NA,NA
X2,Drought,E1,1929,ARTR,NA,NA
X5,Drought,E1,1929,ARTR,NA,NA
X6,Irrigation,E1,1929,ARTR,NA,NA
X7,Irrigation,E1,1929,ARTR,NA,NA
X8,Drought,E1,1929,ARTR,NA,NA
X11,Drought,E1,1929,ARTR,NA,NA
X12,Irrigation,E1,1929,ARTR,NA,NA
X13,Drought,E1,1929,ARTR,NA,NA
X14,Irrigation,E1,1929,ARTR,NA,NA
X15,Drought,E1,1929,ARTR,NA,NA
X16,Irrigation,E1,1929,ARTR,NA,NA
X17,Drought,E1,1929,ARTR,NA,NA
X18,Irrigation,E1,1929,ARTR,NA,NA
X19,Irrigation,E1,1929,ARTR,NA,NA
X20,Drought,E1,1929,ARTR,NA,NA
E1 Q1,Control,E1,1930,ARTR,NA,NA
E1 Q2,Control,E1,1930,ARTR,NA,NA
E1 Q3,Control,E1,1930,ARTR,NA,NA
E1 Q4,Control,E1,1930,ARTR,NA,NA
E1 Q5,Control,E1,1930,ARTR,NA,NA
E1 Q6,Control,E1,1930,ARTR,NA,NA
P1 E1 Q1,Control,P1E1,1930,ARTR,0.037705216229066,3.7705216229066
P1 E1 Q2,Control,P1E1,1930,ARTR,0.044235831353271,4.4235831353271
P1 E1 Q3,Control,P1E1,1930,ARTR,0,0
P1 E1 Q4,Control,P1E1,1930,ARTR,0.008631221572154,0.8631221572154
P1 Q1,Control,P1,1930,ARTR,9.46025592517e-4,0.0946025592517
P1 Q2,Control,P1,1930,ARTR,0.001451194981076,0.1451194981076
P1 Q3,Control,P1,1930,ARTR,0.001223497822837,0.1223497822837
P1 Q4,Control,P1,1930,ARTR,0.013284139922236001,1.3284139922236002
P2 Q1,Control,P2,1930,ARTR,0.06194992,6.194992
P2 Q2,Control,P2,1930,ARTR,0.006740803794755,0.6740803794754999
P2 Q3,Control,P2,1930,ARTR,0.058398459033234,5.8398459033234
P2 Q4,Control,P2,1930,ARTR,0.023271425674423002,2.3271425674423
P7 E1 Q1,Control,P7E1,1930,ARTR,0,0
P7 E1 Q2,Control,P7E1,1930,ARTR,0.054174906723778005,5.4174906723778005
P7 E1 Q3,Control,P7E1,1930,ARTR,0.045552253333637,4.5552253333637
P7 E1 Q4,Control,P7E1,1930,ARTR,0.129775508150087,12.977550815008701
P10 E1 Q1,Control,P10E1,1930,ARTR,NA,NA
P10 E1 Q2,Control,P10E1,1930,ARTR,NA,NA
P10 E1 Q3,Control,P10E1,1930,ARTR,NA,NA
P10 E1 Q4,Control,P10E1,1930,ARTR,NA,NA
X1,Irrigation,E1,1930,ARTR,NA,NA
X2,Drought,E1,1930,ARTR,NA,NA
X5,Drought,E1,1930,ARTR,NA,NA
X6,Irrigation,E1,1930,ARTR,NA,NA
X7,Irrigation,E1,1930,ARTR,NA,NA
X8,Drought,E1,1930,ARTR,NA,NA
X11,Drought,E1,1930,ARTR,NA,NA
X12,Irrigation,E1,1930,ARTR,NA,NA
X13,Drought,E1,1930,ARTR,NA,NA
X14,Irrigation,E1,1930,ARTR,NA,NA
X15,Drought,E1,1930,ARTR,NA,NA
X16,Irrigation,E1,1930,ARTR,NA,NA
X17,Drought,E1,1930,ARTR,NA,NA
X18,Irrigation,E1,1930,ARTR,NA,NA
X19,Irrigation,E1,1930,ARTR,NA,NA
X20,Drought,E1,1930,ARTR,NA,NA
E1 Q1,Control,E1,1931,ARTR,NA,NA
E1 Q2,Control,E1,1931,ARTR,NA,NA
E1 Q3,Control,E1,1931,ARTR,NA,NA
E1 Q4,Control,E1,1931,ARTR,NA,NA
E1 Q5,Control,E1,1931,ARTR,NA,NA
E1 Q6,Control,E1,1931,ARTR,NA,NA
P1 E1 Q1,Control,P1E1,1931,ARTR,0.048977608326467,4.8977608326467
P1 E1 Q2,Control,P1E1,1931,ARTR,0.071453514990787,7.1453514990787
P1 E1 Q3,Control,P1E1,1931,ARTR,0.002696077019348,0.2696077019348
P1 E1 Q4,Control,P1E1,1931,ARTR,0.019358215593865,1.9358215593865
P1 Q1,Control,P1,1931,ARTR,0.004557453885931001,0.4557453885931001
P1 Q2,Control,P1,1931,ARTR,0.002673048790479,0.2673048790479
P1 Q3,Control,P1,1931,ARTR,0.002862601075944,0.2862601075944
P1 Q4,Control,P1,1931,ARTR,0.016683604640617,1.6683604640617002
P2 Q1,Control,P2,1931,ARTR,0.06520266466373299,6.520266466373299
P2 Q2,Control,P2,1931,ARTR,0.011370368318437,1.1370368318436999
P2 Q3,Control,P2,1931,ARTR,0.057426316099038005,5.742631609903801
P2 Q4,Control,P2,1931,ARTR,0.027152887911249,2.7152887911249
P7 E1 Q1,Control,P7E1,1931,ARTR,0,0
P7 E1 Q2,Control,P7E1,1931,ARTR,0.06837999126901899,6.837999126901899
P7 E1 Q3,Control,P7E1,1931,ARTR,0.055936656159855005,5.5936656159855005
P7 E1 Q4,Control,P7E1,1931,ARTR,0.114611740339263,11.4611740339263
P10 E1 Q1,Control,P10E1,1931,ARTR,NA,NA
P10 E1 Q2,Control,P10E1,1931,ARTR,NA,NA
P10 E1 Q3,Control,P10E1,1931,ARTR,NA,NA
P10 E1 Q4,Control,P10E1,1931,ARTR,NA,NA
X1,Irrigation,E1,1931,ARTR,NA,NA
X2,Drought,E1,1931,ARTR,NA,NA
X5,Drought,E1,1931,ARTR,NA,NA
X6,Irrigation,E1,1931,ARTR,NA,NA
X7,Irrigation,E1,1931,ARTR,NA,NA
X8,Drought,E1,1931,ARTR,NA,NA
X11,Drought,E1,1931,ARTR,NA,NA
X12,Irrigation,E1,1931,ARTR,NA,NA
X13,Drought,E1,1931,ARTR,NA,NA
X14,Irrigation,E1,1931,ARTR,NA,NA
X15,Drought,E1,1931,ARTR,NA,NA
X16,Irrigation,E1,1931,ARTR,NA,NA
X17,Drought,E1,1931,ARTR,NA,NA
X18,Irrigation,E1,1931,ARTR,NA,NA
X19,Irrigation,E1,1931,ARTR,NA,NA
X20,Drought,E1,1931,ARTR,NA,NA
E1 Q1,Control,E1,1932,ARTR,0.055172640438657,5.5172640438657
E1 Q2,Control,E1,1932,ARTR,0.038429981750029,3.8429981750029
E1 Q3,Control,E1,1932,ARTR,0.10333203683111498,10.333203683111499
E1 Q4,Control,E1,1932,ARTR,0.02856354955611,2.8563549556109997
E1 Q5,Control,E1,1932,ARTR,0.060098957233548,6.0098957233548
E1 Q6,Control,E1,1932,ARTR,0.051602803046365,5.160280304636499
P1 E1 Q1,Control,P1E1,1932,ARTR,0.077255647212361,7.7255647212361005
P1 E1 Q2,Control,P1E1,1932,ARTR,0.151698048376875,15.1698048376875
P1 E1 Q3,Control,P1E1,1932,ARTR,0,0
P1 E1 Q4,Control,P1E1,1932,ARTR,0.020860570455541,2.0860570455541
P1 Q1,Control,P1,1932,ARTR,0.012875512604775999,1.2875512604775998
P1 Q2,Control,P1,1932,ARTR,0,0
P1 Q3,Control,P1,1932,ARTR,0.004739093447556,0.4739093447556
P1 Q4,Control,P1,1932,ARTR,0.021778148065522997,2.1778148065522998
P2 Q1,Control,P2,1932,ARTR,0.06609747363978499,6.609747363978499
P2 Q2,Control,P2,1932,ARTR,0.017442373488457,1.7442373488457001
P2 Q3,Control,P2,1932,ARTR,0.08911622317575701,8.911622317575702
P2 Q4,Control,P2,1932,ARTR,0.022151041883241,2.2151041883241
P7 E1 Q1,Control,P7E1,1932,ARTR,0,0
P7 E1 Q2,Control,P7E1,1932,ARTR,0.09429115524971599,9.429115524971598
P7 E1 Q3,Control,P7E1,1932,ARTR,0.071383193095254,7.1383193095254
P7 E1 Q4,Control,P7E1,1932,ARTR,0.191116491289666,19.1116491289666
P10 E1 Q1,Control,P10E1,1932,ARTR,0.055727040595292,5.5727040595292
P10 E1 Q2,Control,P10E1,1932,ARTR,0.010817964653961,1.0817964653960999
P10 E1 Q3,Control,P10E1,1932,ARTR,0.09354222912879501,9.3542229128795
P10 E1 Q4,Control,P10E1,1932,ARTR,0.14295995641818401,14.2959956418184
X1,Irrigation,E1,1932,ARTR,NA,NA
X2,Drought,E1,1932,ARTR,NA,NA
X5,Drought,E1,1932,ARTR,NA,NA
X6,Irrigation,E1,1932,ARTR,NA,NA
X7,Irrigation,E1,1932,ARTR,NA,NA
X8,Drought,E1,1932,ARTR,NA,NA
X11,Drought,E1,1932,ARTR,NA,NA
X12,Irrigation,E1,1932,ARTR,NA,NA
X13,Drought,E1,1932,ARTR,NA,NA
X14,Irrigation,E1,1932,ARTR,NA,NA
X15,Drought,E1,1932,ARTR,NA,NA
X16,Irrigation,E1,1932,ARTR,NA,NA
X17,Drought,E1,1932,ARTR,NA,NA
X18,Irrigation,E1,1932,ARTR,NA,NA
X19,Irrigation,E1,1932,ARTR,NA,NA
X20,Drought,E1,1932,ARTR,NA,NA
E1 Q1,Control,E1,1933,ARTR,0.07365261162887601,7.3652611628876015
E1 Q2,Control,E1,1933,ARTR,0.038050599948072,3.8050599948072
E1 Q3,Control,E1,1933,ARTR,0.099025054539025,9.902505453902501
E1 Q4,Control,E1,1933,ARTR,0.028874462261322,2.8874462261322
E1 Q5,Control,E1,1933,ARTR,0.088164545489922,8.8164545489922
E1 Q6,Control,E1,1933,ARTR,0.074356750527394,7.4356750527394
P1 E1 Q1,Control,P1E1,1933,ARTR,0.148957842517357,14.8957842517357
P1 E1 Q2,Control,P1E1,1933,ARTR,0.156823706194608,15.6823706194608
P1 E1 Q3,Control,P1E1,1933,ARTR,0,0
P1 E1 Q4,Control,P1E1,1933,ARTR,0.029513700100395,2.9513700100395
P1 Q1,Control,P1,1933,ARTR,0.017939833017189,1.7939833017189
P1 Q2,Control,P1,1933,ARTR,0.0045714462768899995,0.45714462768899994
P1 Q3,Control,P1,1933,ARTR,0.007911683259136,0.7911683259136
